title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
Tiempo de tormenta,2003,87,NA,6.9,34,0,0,4.5,4.5,4.5,14.5,34.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Ape,1976,87,NA,1.8,212,45.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
"Slight Case of Murder, A",1938,85,NA,7.2,157,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,0,0,0,0
Alibi Ike,1935,72,NA,5.9,67,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
"Yearling, The",1946,128,4000000,7.5,677,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Orbis Pictus,1997,107,NA,7.1,48,4.5,0,0,4.5,4.5,4.5,24.5,14.5,24.5,24.5,,0,0,0,0,0,0,0
"Ich bin ein Elefant, Madame",1969,100,NA,8.1,13,4.5,0,0,0,0,0,4.5,44.5,24.5,14.5,,0,0,1,1,0,0,0
Beach House,1979,76,NA,4.5,8,24.5,24.5,0,14.5,0,14.5,0,0,0,24.5,,0,0,1,0,0,0,0
"Night Club, The",1925,60,NA,8.3,5,0,0,0,0,24.5,24.5,0,24.5,44.5,0,,0,0,1,0,0,0,0
"Espoir, L'",1945,76,NA,7.1,28,0,0,0,4.5,14.5,24.5,4.5,14.5,14.5,24.5,,0,0,0,1,1,0,0
"Good Kurds, Bad Kurds: No Friends But the Mountains",2000,72,NA,5.3,9,24.5,0,0,0,14.5,0,14.5,14.5,24.5,24.5,,0,0,0,0,1,0,0
Last Stand,2003,23,NA,9.2,8,0,0,0,0,14.5,0,0,0,14.5,74.5,,0,0,0,1,0,0,1
Wu kui,1994,114,NA,5.7,76,4.5,4.5,0,0,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Geliebter Alltag,2000,13,NA,7.4,10,0,0,0,0,0,24.5,44.5,24.5,24.5,0,,0,0,0,0,0,0,1
President McKinley and Escort Going to the Capitol,1901,2,NA,3.5,6,0,0,34.5,45.5,14.5,0,0,0,0,0,,0,0,0,0,1,0,1
"Deux timides, Les",1928,62,NA,7.7,13,0,0,0,0,4.5,0,14.5,64.5,14.5,0,,0,0,1,0,0,0,0
Saiyu-ki,1960,84,NA,4.4,46,14.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,4.5,14.5,,0,1,0,0,0,0,0
Knocking on Death's Door,1999,95,NA,4.1,73,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0,0
I Wanna Hold Your Hand,1978,104,2700000,6.7,530,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
"Twinkle in God's Eye, The",1955,73,NA,5.4,6,14.5,0,0,14.5,0,45.5,14.5,0,0,0,,0,0,1,0,0,0,0
Because of Him,1946,88,NA,6.9,34,4.5,4.5,0,4.5,14.5,4.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
"Wishing Ring: An Idyll of Old England, The",1914,54,NA,7.9,17,0,0,0,0,4.5,14.5,14.5,34.5,14.5,4.5,,0,0,1,1,0,0,0
Tillsammans,2000,106,NA,7.5,4277,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,R,0,0,1,1,0,0,0
Mackintosh and T.J.,1975,96,NA,5.1,23,4.5,0,4.5,4.5,14.5,4.5,14.5,4.5,14.5,24.5,,0,0,0,1,0,0,0
"Debtors, The",1999,90,14000000,6.9,38,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0,0
Trespasses,1986,90,NA,2.9,5,0,24.5,64.5,0,24.5,0,0,0,0,0,,0,0,0,0,0,0,0
Deep Impact,1998,120,75000000,5.9,22684,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
Wednesday Afternoon,2004,24,40000,8.3,17,4.5,4.5,0,0,0,4.5,4.5,14.5,4.5,45.5,,0,0,0,1,0,0,1
"Djungelsaga, En",1957,75,NA,5.8,12,0,0,0,4.5,4.5,4.5,4.5,45.5,4.5,4.5,,0,0,0,1,0,0,0
Babymother,1998,82,NA,3.1,29,14.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,24.5,R,0,0,0,1,0,0,0
"Schedule, The",1997,104,NA,2.3,19,24.5,0,0,0,4.5,0,14.5,0,14.5,45.5,,0,0,0,0,0,0,0
"Maison sous la mer, La",1947,105,NA,5.6,5,0,0,0,0,44.5,0,0,44.5,24.5,0,,0,0,0,0,0,0,0
Amici miei,1975,140,NA,8.1,361,4.5,4.5,0,4.5,4.5,4.5,14.5,14.5,24.5,44.5,,0,0,1,0,0,0,0
Chou tin dik tong wah,1987,98,NA,7.7,181,4.5,0,0,4.5,4.5,4.5,14.5,24.5,14.5,44.5,,0,0,0,1,0,1,0
Kahini,1997,105,NA,1.4,10,64.5,34.5,14.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
Illicit Behavior,1992,101,NA,4.6,68,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,,1,0,0,0,0,0,0
Basilisk Stare,2003,13,NA,4.5,15,4.5,0,14.5,4.5,0,4.5,24.5,14.5,0,24.5,,0,0,0,1,0,0,1
"Vacanza bestiale, Una",1980,92,NA,5.2,12,0,0,0,14.5,4.5,0,34.5,34.5,4.5,0,,0,0,1,0,0,0,0
Scanner Cop,1994,95,NA,3.8,151,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Sunset Pass,1946,64,NA,5.6,11,0,0,4.5,14.5,4.5,34.5,4.5,14.5,0,0,,0,0,0,0,0,0,0
From the Earth to the Moon,1958,101,NA,5.4,164,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Conquerors, The",1932,86,NA,5.6,25,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Hamburger Hill,1987,112,NA,6.4,2606,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,1,0,0,1,0,0,0
Gory Gory Hallelujah,2003,96,100000,6.4,39,4.5,4.5,0,4.5,0,4.5,4.5,4.5,14.5,45.5,,0,0,1,0,0,0,0
"Sin of Madelon Claudet, The",1931,75,NA,6.7,70,4.5,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Kinky Business,1985,85,NA,6.8,26,4.5,0,0,4.5,0,4.5,4.5,4.5,14.5,45.5,,0,0,1,0,0,0,0
Menyaly,1992,93,NA,6.3,10,0,0,0,0,24.5,24.5,44.5,14.5,14.5,0,,0,0,1,0,0,0,0
Burlesk Queen,1977,129,NA,6.5,6,0,0,0,0,0,14.5,0,0,34.5,45.5,,0,0,0,1,0,0,0
Niskavuori taistelee,1957,96,NA,5.9,5,0,0,0,0,24.5,44.5,24.5,24.5,0,0,,0,0,0,0,0,0,0
Undercover Man,1942,68,NA,7.5,13,0,0,0,0,4.5,4.5,4.5,24.5,24.5,34.5,,1,0,0,0,0,0,0
"Beauty Jungle, The",1964,82,NA,5.5,19,4.5,0,0,14.5,34.5,24.5,14.5,24.5,0,0,,0,0,0,1,0,0,0
"Ceremony, The",1964,105,NA,5.2,13,0,4.5,4.5,14.5,14.5,34.5,4.5,4.5,0,0,,0,0,0,1,0,0,0
Solamente nero,1978,109,NA,6.7,97,4.5,4.5,0,4.5,14.5,14.5,24.5,14.5,14.5,4.5,,0,0,0,0,0,0,0
Cypher,2002,95,7500000,7.2,3160,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,0,0,0,0,0
Wszystko na sprzedaz,1969,94,NA,7.1,62,0,4.5,0,4.5,4.5,4.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Marooned,1969,134,8000000,5.1,583,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
"End of August, The",1982,105,NA,3.9,8,0,0,14.5,24.5,0,0,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Les Patterson Saves the World,1987,98,NA,3.8,69,14.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
Vsetko co mam rad,1992,99,NA,5.7,38,4.5,0,0,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,1,0,0,0
Mau Mau Sex Sex,2001,80,NA,6.8,40,4.5,0,4.5,4.5,14.5,24.5,14.5,24.5,14.5,14.5,,0,0,0,0,1,0,0
"Beatles Come to Town, The",1963,8,NA,8.9,12,0,0,0,0,0,0,0,44.5,34.5,24.5,,0,0,0,0,1,0,1
Cenerentola '80,1983,171,NA,6,62,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,4.5,44.5,,0,0,0,1,0,1,0
Adieu pays,2003,85,NA,6.6,7,0,0,0,0,24.5,14.5,24.5,24.5,0,0,,0,0,0,0,0,0,0
Cara a Cara,1967,80,NA,3,6,34.5,0,14.5,0,0,14.5,0,0,34.5,0,,0,0,0,1,0,0,0
"Curious Female, The",1970,87,NA,3.3,14,24.5,4.5,14.5,4.5,24.5,0,0,4.5,0,14.5,,0,0,0,0,0,0,0
Jessi's Girls,1975,86,NA,2.9,27,14.5,14.5,14.5,14.5,4.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
Cooley High,1975,107,NA,6.6,282,0,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,,0,0,1,1,0,0,0
"Cosas del querer, Las",1989,103,NA,7.1,53,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,,0,0,0,0,0,0,0
Piccole labbra,1978,77,NA,5.6,15,0,0,24.5,0,24.5,4.5,24.5,0,24.5,14.5,,0,0,0,1,0,0,0
Fu qin ba ba,2001,90,NA,6.4,7,0,0,0,0,0,14.5,44.5,14.5,24.5,0,,0,0,0,0,0,0,0
Romeo & Julia,1992,92,NA,2.3,18,24.5,0,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
Enfants de salaud,1996,100,NA,6.7,89,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,1,0,0,0,0
After Alice,1999,100,NA,5.3,446,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
Moonlight by the Sea,2003,92,10000,8,9,14.5,0,0,14.5,0,0,0,0,34.5,44.5,,0,0,0,0,0,0,0
"Cockleshell Heroes, The",1955,97,NA,6.4,164,4.5,4.5,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,,1,0,0,1,0,0,0
Hvis lille pige er du?,1963,94,NA,5.5,15,0,0,0,4.5,24.5,24.5,34.5,4.5,0,4.5,,0,0,1,0,0,0,0
Posljednji podvig diverzanta Oblaka,1978,108,NA,7.4,5,0,0,0,0,0,44.5,24.5,24.5,0,24.5,,0,0,0,0,0,0,0
24 Hours in London,2000,90,NA,3.8,242,24.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
Coyote,1992,99,NA,4,57,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,0,14.5,,0,0,1,1,0,0,0
Moznosti dialogu,1982,14,NA,8.2,114,4.5,0,4.5,4.5,4.5,4.5,14.5,14.5,24.5,44.5,,0,1,0,0,0,0,1
Rose Hobart,1936,19,NA,7.1,70,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
Black Sabbath: Never Say Die,1984,60,NA,8,6,0,0,0,0,0,14.5,0,45.5,34.5,0,,0,0,0,0,0,0,0
Such Men Are Dangerous,1930,83,NA,3.9,6,0,14.5,14.5,14.5,0,0,14.5,34.5,0,0,,0,0,0,1,0,0,0
Ljubavni slucaj ili tragedija sluzbenice P.T.T.,1967,70,NA,6.1,72,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,,0,0,0,1,0,0,0
South of Death Valley,1949,54,NA,5.7,5,0,24.5,0,0,24.5,0,24.5,24.5,0,24.5,,0,0,0,0,0,0,0
Four Stars,1967,1100,NA,3,12,24.5,0,4.5,0,0,0,4.5,0,0,45.5,,0,0,0,0,0,0,0
We Live Again,1934,85,NA,5.9,41,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
Loser,2000,92,20000000,5.1,5152,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0
Sahara,1943,97,NA,7.4,815,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
"Malheurs d'Alfred, Les",1972,98,NA,6.4,50,4.5,0,0,4.5,14.5,14.5,14.5,24.5,4.5,14.5,,0,0,1,0,0,0,0
"Deep End of the Ocean, The",1999,106,40000000,5.9,2890,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0
Lord Jim,1965,154,NA,6.5,458,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
Waterland,1992,95,NA,6.6,490,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
Melody Ranch,1940,84,NA,6.7,26,0,0,4.5,0,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
Garmento,2002,90,NA,5.9,16,14.5,4.5,14.5,4.5,0,0,4.5,4.5,0,44.5,,0,0,0,1,0,0,0
Pour Sacha,1991,114,NA,5.6,92,14.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
Jennifer Is Dead,2002,24,NA,4.9,14,14.5,0,0,0,14.5,0,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,1
Frightmare,1974,88,NA,5.4,117,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,,0,0,0,0,0,0,0
Pelle erobreren,1987,157,NA,7.6,1611,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
90 Days,1985,100,NA,5.8,17,4.5,0,0,4.5,0,24.5,14.5,24.5,14.5,4.5,,0,0,0,0,0,0,0
Porky's,1982,94,4000000,5.4,5483,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
"Army Mascot, The",1942,7,NA,6.5,47,0,0,0,4.5,24.5,4.5,34.5,14.5,4.5,4.5,,0,1,1,0,0,0,1
Un pays sans bon sens!,1970,117,NA,2.1,8,24.5,0,0,0,0,0,14.5,0,34.5,24.5,,0,0,0,0,1,0,0
Evolution,1971,11,NA,6.9,22,0,4.5,4.5,14.5,4.5,4.5,4.5,24.5,24.5,14.5,,0,1,0,0,0,0,1
"Erben, Die",1982,90,NA,5.1,34,4.5,4.5,0,4.5,4.5,14.5,24.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
Cattle Queen,1951,69,NA,3.8,6,14.5,34.5,14.5,14.5,0,14.5,0,0,0,0,,0,0,0,0,0,0,0
Funeral in Berlin,1966,102,NA,6.5,500,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,,1,0,0,1,0,0,0
Presence of Mind,1999,94,3000000,5.6,98,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Tess,1979,172,NA,7.1,1531,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
Amour Infinity,2000,85,NA,7,10,34.5,0,0,0,0,0,0,14.5,14.5,45.5,,0,0,0,1,0,0,0
"Insaisissables, Les",2000,95,NA,3.6,21,4.5,0,4.5,34.5,4.5,14.5,4.5,0,4.5,4.5,,0,0,1,0,0,0,0
Gerald McBoing-Boing's Symphony,1953,8,NA,7,13,0,0,0,0,14.5,4.5,4.5,24.5,24.5,24.5,,0,1,0,0,0,0,1
Too Tired to Die,1998,97,NA,5.5,161,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,1,0,0,0
"Mysterious Desperado, The",1949,61,NA,6.6,12,4.5,0,0,0,4.5,14.5,4.5,4.5,14.5,34.5,,0,0,0,0,0,0,0
"Tall Target, The",1951,78,NA,7.3,134,0,0,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
Alas rotas,2002,95,NA,2.7,6,64.5,14.5,0,0,0,0,0,0,0,14.5,,1,0,0,1,0,0,0
Full Blast,1997,91,NA,5.9,19,14.5,4.5,0,4.5,14.5,14.5,14.5,0,0,34.5,,1,0,0,0,0,0,0
Life Tastes Good,1999,88,NA,5.2,24,14.5,0,0,14.5,14.5,4.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Toy Soldiers,1984,85,NA,5.6,127,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,1,0,0,1,0,0,0
Ocean Men: Extreme Dive,2001,40,NA,6.3,22,0,4.5,0,0,0,14.5,14.5,14.5,14.5,34.5,,0,0,0,0,1,0,1
"Super Snooper, The",1952,7,NA,6.7,23,0,0,4.5,0,14.5,14.5,24.5,34.5,4.5,4.5,,0,1,1,0,0,0,1
Six of a Kind,1934,65,NA,7.1,99,0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,0,0,0,0
"Rita, Sue and Bob Too",1986,89,NA,5.8,371,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,1,0,0,0
In Love and War,1996,113,NA,5.6,1792,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,1,0
"Gospel According to Philip K. Dick, The",2001,80,NA,4.1,59,14.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,,0,0,0,0,1,0,0
Faust,1926,116,NA,8.4,731,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
"America, America",1963,174,NA,7.5,485,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Gojitmal,1999,112,NA,5.6,399,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
Guns,1990,96,NA,3.3,90,24.5,14.5,14.5,4.5,4.5,14.5,4.5,4.5,4.5,14.5,,1,0,0,1,0,0,0
Violin Lesson,2002,18,NA,7.6,5,0,0,0,0,0,0,64.5,44.5,0,0,,0,0,0,0,0,0,1
Kan-Kin,2001,20,NA,6.8,10,0,0,0,0,14.5,14.5,44.5,14.5,14.5,24.5,,0,0,0,0,0,0,1
State of the Union,1948,124,2600000,7.2,454,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,1,1,0,1,0
Federico Fellini - un autoritratto ritrovato,2000,55,NA,7.8,18,24.5,0,0,0,0,14.5,0,24.5,14.5,24.5,,0,0,0,0,1,0,0
"Man Who Died Twice, The",1958,70,NA,6.1,6,0,0,14.5,14.5,0,14.5,14.5,14.5,0,14.5,,0,0,0,1,0,0,0
"Date with Your Family, A",1950,10,NA,2.1,74,44.5,24.5,14.5,4.5,4.5,0,0,0,4.5,4.5,,0,0,0,0,1,0,1
In extremis,1988,90,NA,5.1,7,14.5,0,0,0,44.5,14.5,0,14.5,0,14.5,,0,0,0,1,0,1,0
"Mary, Mary, Bloody Mary",1975,101,NA,3.9,32,4.5,4.5,14.5,34.5,14.5,4.5,0,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Ofrivillige golfaren, Den",1991,107,NA,5.4,435,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
Page Miss Glory,1935,75,NA,6.3,56,0,0,0,4.5,14.5,34.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
"Femme enfant, La",1980,100,NA,6.3,9,0,0,14.5,0,0,14.5,34.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
Covek nije tica,1965,81,NA,5.6,31,4.5,4.5,0,0,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,1,0
3:15,1986,86,NA,4.5,94,14.5,4.5,4.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
Blue Cat Blues,1956,7,NA,6.3,33,0,0,4.5,14.5,4.5,24.5,14.5,24.5,4.5,4.5,,0,1,1,0,0,0,1
"Victim, The",2004,16,15000,9.8,5,0,0,0,0,0,0,0,0,24.5,84.5,,0,0,0,0,0,0,1
Allotment Wives,1945,80,NA,5.5,14,0,0,0,24.5,24.5,24.5,14.5,0,4.5,4.5,,0,0,0,1,0,0,0
Falo Crest,1987,80,NA,5.6,5,24.5,0,0,0,0,24.5,64.5,0,0,0,,0,0,1,0,0,0,0
"Ball, Der",1982,50,NA,6.4,7,0,0,0,14.5,0,14.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
Body Heat,1981,113,NA,7.4,5063,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0,0
Night Wars,1991,90,NA,3.6,19,14.5,34.5,14.5,24.5,0,0,14.5,0,4.5,0,,0,0,0,0,0,0,0
Ezek a fiatalok,1967,75,NA,8.5,6,0,0,0,0,0,34.5,0,0,14.5,45.5,,0,0,0,0,0,0,0
War of the Satellites,1958,72,NA,3.6,41,4.5,4.5,14.5,14.5,4.5,24.5,4.5,4.5,0,14.5,,0,0,0,0,0,0,0
"Simple Things, The",1953,7,NA,5.8,36,4.5,0,4.5,14.5,4.5,24.5,34.5,4.5,4.5,4.5,,0,1,1,0,0,0,1
"Walk Through H: The Reincarnation of an Ornithologist, A",1978,41,NA,8.4,75,4.5,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,0,0,0,1
Dancing Sweeties,1930,62,NA,4.4,11,14.5,0,4.5,4.5,24.5,14.5,14.5,0,0,0,,0,0,1,1,0,1,0
Unbreakable,2000,106,75000000,7.1,35842,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0
Apocalypse domani,1980,91,NA,5.1,248,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,14.5,,1,0,0,0,0,0,0
Hiawatha's Rabbit Hunt,1941,8,NA,7,51,0,4.5,0,0,14.5,4.5,34.5,24.5,4.5,14.5,,0,1,1,0,0,0,1
"Failures, The",2003,95,NA,6,13,4.5,0,4.5,0,14.5,24.5,4.5,4.5,14.5,14.5,,0,0,1,0,0,1,0
J'me sens pas belle,2004,85,NA,7,96,0,4.5,0,4.5,4.5,14.5,34.5,24.5,14.5,4.5,,0,0,1,0,0,1,0
Critical Care,1997,107,12000000,5.8,397,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0
"Last Grenade, The",1970,94,NA,5.5,26,4.5,4.5,0,14.5,24.5,14.5,4.5,14.5,14.5,4.5,,0,0,0,1,0,0,0
Sunday Bloody Sunday,1971,110,NA,7.2,520,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
Money Talks,1972,81,NA,4.6,11,14.5,0,4.5,0,0,24.5,14.5,14.5,0,4.5,,0,0,1,0,1,0,0
Jentespranget,1973,101,NA,3.7,20,24.5,24.5,14.5,14.5,24.5,0,0,14.5,0,0,,0,0,0,1,0,0,0
Gun the Man Down,1956,74,NA,2.8,9,34.5,34.5,0,0,14.5,0,0,14.5,0,14.5,,0,0,0,0,0,0,0
Hormoner og andre demoner,2001,26,NA,6.2,9,0,0,0,0,14.5,14.5,14.5,24.5,34.5,14.5,,0,0,0,0,0,0,1
King Kongs Faust,1985,80,NA,8,5,24.5,0,0,0,0,0,0,0,24.5,64.5,,0,0,0,0,0,0,0
Angel Face,1952,91,NA,7.2,423,4.5,0,4.5,4.5,4.5,14.5,34.5,24.5,14.5,4.5,,0,0,0,1,0,0,0
Taps,1981,126,NA,6.4,2568,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
"Clonus Horror, The",1979,90,350000,2.1,469,45.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
"Hire: Star, The",2001,10,NA,7.5,1260,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,1,0,0,0,1
I Yam What I Yam,1933,6,NA,6.2,16,0,0,4.5,4.5,14.5,4.5,14.5,14.5,0,34.5,,0,1,1,0,0,0,1
Becket,1964,148,3000000,8,1538,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
"Straitjacket Lottery, The",2004,22,NA,8.7,13,0,0,4.5,0,4.5,0,4.5,0,14.5,64.5,,0,0,1,0,0,0,1
Carmen,1984,152,NA,7.7,252,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,0,0
Double Indemnity,1944,110,927262,8.5,11592,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
"Deadly Strike, The",1980,90,NA,4.4,16,14.5,4.5,4.5,14.5,0,4.5,4.5,4.5,14.5,34.5,,1,0,0,1,0,0,0
Vendetta,1942,11,NA,5.4,6,0,0,0,14.5,14.5,0,14.5,14.5,0,34.5,,0,0,0,1,0,0,1
Huk!,1956,84,NA,5.7,9,0,0,0,0,45.5,34.5,14.5,0,0,0,,0,0,0,1,0,0,0
Podgryavane na vcherashniya obed,2002,98,NA,6.9,11,24.5,0,4.5,0,0,0,24.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
"Oregon Trail, The",1936,59,NA,3.7,24,14.5,4.5,4.5,4.5,24.5,24.5,4.5,4.5,0,4.5,,0,0,0,0,0,0,0
Paper Chasers,2003,80,NA,7.9,5,0,0,0,0,0,0,44.5,44.5,24.5,0,,0,0,0,0,1,0,0
Sfora - Bez litosci,2002,120,NA,5.4,25,34.5,0,0,14.5,4.5,14.5,4.5,4.5,4.5,24.5,,0,0,0,0,0,0,0
God's Step Children,1938,105,NA,5.2,15,24.5,0,0,14.5,14.5,0,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
OcchioPinocchio,1994,135,NA,2.5,37,45.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,0,4.5,,0,0,0,0,0,0,0
Robert. Schastlivaya zhizn,1996,26,NA,8.8,6,0,0,0,0,0,14.5,0,14.5,14.5,45.5,,0,0,0,0,0,0,1
"Hold Up, The",1972,14,NA,1.8,8,24.5,14.5,14.5,0,0,14.5,14.5,0,0,24.5,,0,0,0,0,0,0,1
Repo Man,1984,92,1500000,6.8,4954,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,1,0,1,0,0,0,0
